Cell line	Disease	Disease subtype	Cellosaurus ID	Patient	Primary/Metastasis	Sample collection site
LUDLU-1	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_2582	Male, 72	primary	lung
LXF 289	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1394	Male, 62	primary	lung
LXFL 529L	Lung cancer		CVCL_D085			
M-07e	Leukemia	Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)	CVCL_2106	Female, 0		haematopoietic and lymphoid tissue
M059K	Brain cancer	Glioblastoma	CVCL_0401	Male, 33	primary	central nervous system
Malme-3M	Skin cancer	Melanoma	CVCL_1438	Male, 43	metastasis	lung
MC116	Lymphoma	B-cell, Non-Hodgkins	CVCL_1399	Male		pleural effusion
MCAS	Ovarian cancer	Cystadenocarcinoma, mucinous	CVCL_3020	Female, 60	primary	ovary
MCF-10A	Non-cancerous		CVCL_0598	36	Primary	breast
MCF-7	Breast cancer		CVCL_0031	Female, 69	metastasis	pleural effusion
MDA-MB-134-VI	Breast cancer	Breast Ductal Carcinoma	CVCL_0617	Female, 47	metastasis	pleural effusion
MDA-MB-157	Breast cancer	Breast Ductal Carcinoma	CVCL_0618	Female, 44	metastasis	pleural effusion
MDA-MB-175-VII	Breast cancer	Breast Ductal Carcinoma	CVCL_1400	Female, 56	metastasis	pleural effusion
MDA-MB-231	Breast cancer	Carcinoma	CVCL_0062	Female, 51	metastasis	pleural effusion
MDA-MB-330	Breast cancer	Carcinoma	CVCL_0619	43	Metastasis	pleural_effusion
MDA-MB-361	Breast cancer	Carcinoma	CVCL_0620	Female, 40	metastasis	central nervous system
MDA-MB-415	Breast cancer	Carcinoma	CVCL_0621	Female, 38	metastasis	pleural effusion
MDA-MB-435	Skin cancer		CVCL_0417			
MDA-MB-435S	Skin cancer	Melanoma, amelanotic	CVCL_0622	Female, 31	metastasis	skin
MDA-MB-436	Breast cancer	Carcinoma	CVCL_0623	Female, 43	metastasis	pleural effusion
MDA-MB-453	Breast cancer	Carcinoma	CVCL_0418	Female, 48	metastasis	pericardial effusion
MDA-MB-468	Breast cancer	Carcinoma	CVCL_0419	Female, 51	metastasis	pleural effusion
MDA-PCa-2b	Prostate cancer	Adenocarcinoma	CVCL_4748	Male, 63	metastasis	bone
MDST8	Colorectal cancer	Adenocarcinoma	CVCL_2588			large intestine
ME-1 [Human leukemia]	Leukemia	Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)	CVCL_2110	Male, 40		haematopoietic and lymphoid tissue
ME-180	Cervical cancer	Squamous Cell Carcinoma	CVCL_1401	66	Metastasis	abdomen
MEC-1	Leukemia	Chronic Lymphoblastic Leukemia (CLL), B-cell	CVCL_1870	Male, 61		haematopoietic and lymphoid tissue
MEG-01	Leukemia	Chronic Myelogenous Leukemia (CML)	CVCL_0425	Male, 55		bone marrow
Mel 928	Skin cancer	Melanoma	CVCL_C694			
Mel Ho	Skin cancer	Melanoma	CVCL_1402	Female	primary	skin
Mel JuSo	Skin cancer	Melanoma	CVCL_1403	Female, 58	primary	skin
MES-SA	Sarcoma	Uterine Sarcoma	CVCL_1404	Female, 56	primary	endometrium
MeWo	Skin cancer	Melanoma	CVCL_0445	Male, 78	metastasis	lymph node
MFE-280	Uterine cancer	Endometrial Adenocarcinoma	CVCL_1405	Female, 77	primary	endometrium
MFE-296	Uterine cancer	Endometrial Adenocarcinoma	CVCL_1406	Female, 68	primary	endometrium
MFE-319	Uterine cancer		CVCL_2112	Female, 81		endometrium
MFM-223	Breast cancer	Breast Ductal Carcinoma	CVCL_1408	0	Metastasis	pleural_effusion
MG-63	Bone cancer	Osteosarcoma	CVCL_0426	Male, 14	primary	bone
MHH-CALL-2	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_1409	Female, 15		haematopoietic and lymphoid tissue
MHH-CALL-3	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_0089	Female, 11		bone marrow
MHH-CALL-4	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_1410	Male, 10		haematopoietic and lymphoid tissue
MHH-ES-1	Bone cancer	Ewings Sarcoma	CVCL_1411	Male, 12	metastasis	ascites
MHH-NB-11	Neuroblastoma		CVCL_1412	Male, 4	metastasis	autonomic ganglia
MHH-PREB-1	Lymphoma	B-cell, Non-Hodgkins	CVCL_1413	7		lymph_node
MIA PaCa-2	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_0428	Male, 65	primary	pancreas
Mino	Lymphoma	B-cell, Non-Hodgkins, Mantle Cell	CVCL_1872	Male, 68		haematopoietic and lymphoid tissue
MJ	Lymphoma	T-cell, Non-Hodgkins, Cutaneous	CVCL_1414	Male, 50		haematopoietic and lymphoid tissue
MKN1	Gastric cancer	Adenocarcinoma	CVCL_1415	Male, 72	metastasis	lymph node
MKN45	Gastric cancer	Adenocarcinoma	CVCL_0434	Female, 62	metastasis	liver
MKN7	Gastric cancer	Adenocarcinoma, tubular	CVCL_1417	Male, 39	metastasis	lymph node
MKN74	Gastric cancer	Adenocarcinoma	CVCL_2791	Male, 37	metastasis	liver
ML-1 [Human thyroid carcinoma]	Thyroid cancer	Carcinoma, follicular	CVCL_H525	Female, 50		thyroid
ML-2	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_1418	26		haematopoietic_and_lymphoid_tissue
MM1.S	Myeloma	Multiple Myeloma	CVCL_8792	Female, 45	primary	haematopoietic and lymphoid tissue
MOLM-13	Leukemia		CVCL_2119	Male, 20	primary	haematopoietic and lymphoid tissue
MOLM-16	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_2120	Female, 77		haematopoietic and lymphoid tissue
MOLM-6	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	CVCL_2122	Male, 44		haematopoietic and lymphoid tissue
MOLP-2	Myeloma	Multiple Myeloma	CVCL_2123	Male, 55	primary	haematopoietic and lymphoid tissue
MOLP-8	Myeloma	Multiple Myeloma	CVCL_2124	Male, 52	primary	haematopoietic and lymphoid tissue
MOLT-13	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_1422	Female, 2		bone marrow
MOLT-16	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_1424	Female, 5		haematopoietic and lymphoid tissue
MOLT-3	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_0624	Male, 19		haematopoietic and lymphoid tissue
MOLT-4	Leukemia		CVCL_0013	Male, 19		haematopoietic and lymphoid tissue
MON	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_M846	Male, 0		soft tissue
Mono-Mac-1	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_1425	Male, 64	primary	haematopoietic and lymphoid tissue
Mono-Mac-6	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	CVCL_1426	Male, 64	primary	haematopoietic and lymphoid tissue
MOR	Lung cancer		CVCL_2618			
MOR/CPR	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_2620	Female	primary	lung
MPP 89	Lung cancer	Mesothelioma	CVCL_1427	Male, 67		pleural effusion
MS751	Cervical cancer	Squamous Cell Carcinoma	CVCL_4996	47	Metastasis	lymph_node
MSTO-211H	Lung cancer	Mesothelioma	CVCL_1430	Male, 62	metastasis	pleural effusion
MUTZ-3	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_1433	Male, 29		haematopoietic and lymphoid tissue
MUTZ-5	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_1873	Male, 26		haematopoietic and lymphoid tissue
MV4-11	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_0064	Male, 10	primary	haematopoietic and lymphoid tissue
MX-1	Breast cancer		CVCL_4774	29		breast
NALM-1	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	CVCL_0091	Female, 3		haematopoietic and lymphoid tissue
NALM-19	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_1835	Male, 26		haematopoietic and lymphoid tissue
NALM-6	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_0092	Male, 19	primary	haematopoietic and lymphoid tissue
Namalwa	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_0067	Female, 3		haematopoietic and lymphoid tissue
NB1	Neuroblastoma		CVCL_1440	Male, 2	metastasis	lymph node
NB4	Leukemia		CVCL_0005	Female, 23	primary	bone marrow
NCC-StC-K140	Gastric cancer	Adenocarcinoma	CVCL_3055	Female, 36		stomach
NCE-G 111	Brain cancer		CVCL_N739		Primary	central_nervous_system
NCE-G 118	Brain cancer		CVCL_N741		Primary	central_nervous_system
NCE-G 120	Brain cancer		CVCL_N742		Primary	central_nervous_system
NCE-G 121	Brain cancer		CVCL_N743		Primary	central_nervous_system
NCE-G 122	Brain cancer		CVCL_N744			
NCE-G 124	Brain cancer		CVCL_N746		Primary	central_nervous_system
NCE-G 130	Brain cancer		CVCL_N747		Primary	central_nervous_system
NCE-G 140	Brain cancer		CVCL_N748		Primary	central_nervous_system
NCE-G 22	Brain cancer		CVCL_N723			central_nervous_system
NCE-G 28T	Brain cancer		CVCL_0V15		Primary	central_nervous_system
NCE-G 44	Brain cancer		CVCL_N727		Primary	central_nervous_system
NCE-G 59	Brain cancer		CVCL_N729		Primary	central_nervous_system
NCE-G 61	Brain cancer		CVCL_N731		Primary	central_nervous_system
NCE-G 84	Brain cancer		CVCL_N735			
NCI-H1048	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1453	Female, 53	metastasis	pleural effusion
NCI-H1092	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1454	Male, 67	metastasis	bone marrow
NCI-H1105	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1455	Male, 73	metastasis	lymph node
NCI-H1155	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_1456	Male, 36	metastasis	lymph node
NCI-H1184	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1458	Male, 42	metastasis	lymph node
NCI-H1299	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_0060	Male, 43	metastasis	lymph node
NCI-H1341	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1463	Female, 26	metastasis	cervix
NCI-H1355	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1464	Male, 53	metastasis	pleural effusion
NCI-H1373	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1465	Male, 56	primary	lung
NCI-H1385	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1466	Female, 49	metastasis	lymph node
NCI-H1395	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1467	Female, 55	primary	lung
NCI-H1435	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1470	Female, 35	primary	lung
NCI-H1436	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1471	Male, 39	metastasis	lymph node
NCI-H1437	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1472	Male, 60	metastasis	pleural effusion
NCI-H146	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1473	Male, 59	metastasis	bone marrow
NCI-H1563	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1475	Male	primary	lung
NCI-H1568	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1476	Female, 48	metastasis	lymph node
NCI-H157	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_0463	Male, 59	metastasis	pleural effusion
NCI-H1573	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1478	Female, 35	metastasis	soft tissue
NCI-H1581	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_1479	Male, 44	primary	lung
NCI-H1618	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1480	Female, 55	metastasis	bone marrow
NCI-H1623	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1481	Male, 58	metastasis	lymph node
NCI-H1648	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1482	Male, 39	metastasis	lymph node
NCI-H1650	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1483	Male, 27	metastasis	pleural effusion
NCI-H1651	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1484	Male, 71	primary	lung
NCI-H1666	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1485	Female, 50	metastasis	pleural effusion
NCI-H1693	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1488	Female, 55	metastasis	lymph node
NCI-H1694	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1489	Male, 61	metastasis	ascites
NCI-H1703	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1490	Male, 54	primary	lung
NCI-H1734	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1491	Female, 56	primary	lung
NCI-H1755	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1492	Female, 65	metastasis	liver
NCI-H1770	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	CVCL_1493	57	Metastasis	lymph_node
NCI-H1781	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1494	Female, 66	metastasis	pleural effusion
NCI-H1792	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1495	Male, 50	metastasis	pleural effusion
NCI-H1793	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1496	Female, 52	primary	lung
NCI-H1819	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1497	Female, 55	metastasis	lymph node
NCI-H1836	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1498	Male, 52	primary	lung
NCI-H1838	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1499	Female	primary	lung
NCI-H1869	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1500	Male, 58	metastasis	pleural effusion
NCI-H187	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1501	47	Metastasis	pleural_effusion
NCI-H1876	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1503	Male, 59	metastasis	lymph node
NCI-H1882	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1504		Metastasis	bone_marrow
NCI-H1915	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_1505	Female, 61	metastasis	central nervous system
NCI-H1930	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1507	Male, 41	metastasis	lymph node
NCI-H1944	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1508	Female, 62	metastasis	soft tissue
NCI-H196	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1509	Male, 68	metastasis	pleural effusion
NCI-H1963	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1510	Male, 56	primary	lung
NCI-H1975	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1511	Female	primary	lung
NCI-H2004RT	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_WS70	Male		soft tissue
NCI-H2009	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1514	Female, 68	metastasis	lymph node
NCI-H2023	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1515	Male, 26	metastasis	lymph node
NCI-H2029	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1516	Female, 69	metastasis	lymph node
NCI-H2030	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1517	Male	metastasis	lymph node
NCI-H2052	Lung cancer	Mesothelioma	CVCL_1518	Male, 65	metastasis	pleural effusion
NCI-H2066	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1520	Female, 70	primary	lung
NCI-H2073	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1521	Female, 47	primary	lung
NCI-H2077	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_5157	Male, 58		
NCI-H2081	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1522	Female, 59	metastasis	pleural effusion
NCI-H2085	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1523	Male, 45	primary	lung
NCI-H2087	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1524	Male, 69	metastasis	lymph node
NCI-H209	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1525	Male, 55	metastasis	bone marrow
NCI-H2106	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_1526	Male, 58	metastasis	lymph node
NCI-H211	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1529	Female, 50	metastasis	bone marrow
NCI-H2110	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	CVCL_1530		metastasis	pleural effusion
NCI-H2122	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1531	Female, 46	metastasis	pleural effusion
NCI-H2126	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1532	Male, 65	metastasis	haematopoietic and lymphoid tissue
NCI-H2135	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	CVCL_1533		Primary	lung
NCI-H2170	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1535	Male	primary	lung
NCI-H2171	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1536	Male, 50	metastasis	pleural effusion
NCI-H2172	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	CVCL_1537	Female	primary	lung
NCI-H2196	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1539	Male, 67	metastasis	bone marrow
NCI-H2198	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1540		Metastasis	lymph_node
NCI-H2227	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1542	Male, 54	primary	lung
NCI-H2228	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1543	Female	primary	lung
NCI-H226	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1544	Male	metastasis	pleural effusion
NCI-H2286	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1545	Female, 57	primary	lung
NCI-H2291	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1546	Male	metastasis	lymph node
NCI-H23	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1547	Male, 51	primary	lung
NCI-H2342	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1549	Male, 55	primary	lung
NCI-H2347	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1550	Female, 54	primary	lung
NCI-H2369	Lung cancer	Mesothelioma	CVCL_A532			lung
NCI-H2373	Lung cancer	Mesothelioma	CVCL_A533	0		lung
NCI-H2405	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1551	Male, 47	metastasis	ascites
NCI-H2444	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	CVCL_1552	Male	primary	lung
NCI-H2452	Lung cancer	Mesothelioma	CVCL_1553	Male	metastasis	pleura
NCI-H2461	Lung cancer	Mesothelioma	CVCL_A536	0		lung
NCI-H2595	Lung cancer	Mesothelioma	CVCL_A545	0		lung
NCI-H2596	Lung cancer	Mesothelioma	CVCL_A546			
NCI-H2722	Lung cancer	Mesothelioma	CVCL_U994			lung
NCI-H2795	Lung cancer	Mesothelioma	CVCL_U996			lung
NCI-H28	Lung cancer	Mesothelioma	CVCL_1555	Male, 48	metastasis	pleural effusion
NCI-H2803	Lung cancer	Mesothelioma	CVCL_U997			lung
NCI-H2804	Lung cancer	Mesothelioma	CVCL_U998			lung
NCI-H2810	Lung cancer	Mesothelioma	CVCL_U999			lung
NCI-H2882	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_5158	Female, 61		lung
NCI-H2887	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	CVCL_5159	Male, 31		lung
NCI-H292	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Mucoepidermoid Carcinoma	CVCL_0455	Female, 32	metastasis	lymph node
NCI-H3122	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_5160	Male		lung
NCI-H322	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1556	Male, 52	primary	lung
NCI-H3255	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_6831	Female, 52	primary	lung
NCI-H345	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1558	64	Metastasis	bone_marrow
NCI-H358	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1559	Male	primary	lung
NCI-H441	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1561	Male, 33	metastasis	pericardial effusion
NCI-H446	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1562	Male, 61	metastasis	pleural effusion
NCI-H460	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_0459	Male	metastasis	pleural effusion
NCI-H508	Colorectal cancer	Caecum Adenocarcinoma	CVCL_1564	Male, 55	metastasis	abdomen
NCI-H510A	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1565	Male, 56	metastasis	autonomic ganglia
NCI-H520	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1566	Male	primary	lung
NCI-H522	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1567	Male, 58	primary	lung
NCI-H524	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1568	Male, 63	metastasis	lymph node
NCI-H526	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1569	Male, 55	metastasis	bone marrow
NCI-H596	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma	CVCL_1571	Male, 73	primary	lung
NCI-H647	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma	CVCL_1574	Male, 56	metastasis	pleural effusion
NCI-H650	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1575	Male	metastasis	lung
NCI-H660	Prostate cancer	Small Cell Carcinoma	CVCL_1576	Male, 63	metastasis	lymph node
NCI-H661	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_1577	Male, 43	metastasis	lymph node
NCI-H684	Colorectal cancer	Adenocarcinoma	CVCL_9980	Male, 55	metastasis	liver
NCI-H69	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1579	Male, 55	metastasis	pleural effusion
NCI-H716	Colorectal cancer	Adenocarcinoma	CVCL_1581	Male, 33	metastasis	ascites
NCI-H727	Lung cancer	Carcinoid	CVCL_1584	Female, 65	primary	lung
NCI-H747	Colorectal cancer	Adenocarcinoma	CVCL_1587	Male, 69	metastasis	large intestine
NCI-H810	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_1590	Male, 51	primary	lung
NCI-H82	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1591	Male, 41	metastasis	pleural effusion
NCI-H820	Lung cancer		CVCL_1592		Metastasis	lymph_node
NCI-H838	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1594	Male, 59	metastasis	lymph node
NCI-H841	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1595	Male, 51	metastasis	lung
NCI-H847	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1596	63	Metastasis	pleural_effusion
NCI-H854	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_A584	Male, 75	primary	lung
NCI-H889	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1598	Female, 69	metastasis	lymph node
NCI-H920	Lung cancer		CVCL_1599			
NCI-H929	Myeloma	Multiple Myeloma, plasmacytoma	CVCL_1600	Female, 62	metastasis	pleural effusion
NCI-N417	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1602		Primary	lung
NCI-N87	Gastric cancer	Adenocarcinoma, tubular	CVCL_1603	Male	metastasis	liver
NCO2	Leukemia	Chronic Myelogenous Leukemia (CML)	CVCL_3043	Female, 35		haematopoietic and lymphoid tissue
NH-6	Neuroblastoma		CVCL_1606	Female, 0	metastasis	autonomic ganglia
NHAHTDD	Non-cancerous		CVCL_WS73	Male		central nervous system
NMC-G1	Brain cancer	Glioblastoma	CVCL_1608	Female	primary	central nervous system
NOMO-1	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	CVCL_1609	Female, 31	primary	bone marrow
NTERA-2	Uncategorized		CVCL_0034	22	metastasis	lung
NU-DHL-1	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_1876	Male, 73	metastasis	lymph node
NU-DUL-1	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_1877	Male, 43		central nervous system
NUGC-2	Gastric cancer	Adenocarcinoma	CVCL_1611	Female, 56	metastasis	lymph node
NUGC-3	Gastric cancer	Adenocarcinoma	CVCL_1612	Male, 72	metastasis	soft tissue
NUGC-4	Gastric cancer	Adenocarcinoma	CVCL_3082	Female, 35	metastasis	lymph node
OAW28	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_1614	Female, 75	metastasis	ascites
OAW42	Ovarian cancer	Carcinoma	CVCL_1615	Female, 46	metastasis	ascites
OC 314	Ovarian cancer	Cystadenocarcinoma, clear cell	CVCL_1616	Female, 39	metastasis	ascites
OCI-AML-2	Leukemia	Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)	CVCL_1619	Male, 65	primary	haematopoietic and lymphoid tissue
OCI-AML-3	Leukemia	Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)	CVCL_1844	Male, 57	primary	haematopoietic and lymphoid tissue
OCI-AML-5	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_1620	Male, 77	primary	haematopoietic and lymphoid tissue
OCI-Ly10	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_8795	66		lymph_node
OCI-Ly19	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_1878	Female, 27	primary	bone marrow
OCI-Ly3	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_8800	Male, 52	primary	bone marrow
